K	V	rc	status	fused	prefill	decode	kernel
turbo2	turbo2	0	ok	16	8	0	   1208 kernel=MMA_F16;
turbo2	turbo3	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2	turbo4	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2	turbo2_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2	turbo3_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2	turbo4_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3	turbo2	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3	turbo3	0	ok	16	8	0	   1208 kernel=MMA_F16;
turbo3	turbo4	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3	turbo2_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3	turbo3_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3	turbo4_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4	turbo2	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4	turbo3	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4	turbo4	0	ok	16	8	0	   1208 kernel=MMA_F16;
turbo4	turbo2_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4	turbo3_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4	turbo4_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2_tcq	turbo2	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2_tcq	turbo3	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2_tcq	turbo4	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2_tcq	turbo2_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2_tcq	turbo3_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2_tcq	turbo4_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3_tcq	turbo2	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3_tcq	turbo3	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3_tcq	turbo4	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3_tcq	turbo2_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3_tcq	turbo3_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo3_tcq	turbo4_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4_tcq	turbo2	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4_tcq	turbo3	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4_tcq	turbo4	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4_tcq	turbo2_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4_tcq	turbo3_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo4_tcq	turbo4_tcq	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2	f32	0	ok	0	16	8	   1224 kernel=MMA_F16;
f32	turbo2	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2	f16	0	ok	0	16	8	   1224 kernel=MMA_F16;
f16	turbo2	0	ok	0	16	8	   1224 kernel=MMA_F16;
turbo2	bf16	0	ok	0	16	8	   1224 kernel=MMA_F16;
bf16	turbo2	0	ok	0	0	24	   1256 kernel=MMA_F16;
turbo2	q8_0	0	ok	0	0	24	    912 kernel=MMA_F16;    240 kernel=VEC;
q8_0	turbo2	0	ok	0	0	24	   1256 kernel=MMA_F16;
turbo2	q4_0	0	ok	0	16	8	    880 kernel=MMA_F16;    240 kernel=VEC;
q4_0	turbo2	0	ok	0	0	24	   1256 kernel=MMA_F16;
turbo2	q4_1	0	ok	0	16	8	    880 kernel=MMA_F16;    240 kernel=VEC;
q4_1	turbo2	0	ok	0	0	24	   1256 kernel=MMA_F16;
turbo2	q5_0	0	ok	0	16	8	    880 kernel=MMA_F16;    240 kernel=VEC;
q5_0	turbo2	0	ok	0	0	24	   1256 kernel=MMA_F16;
turbo2	q5_1	0	ok	0	16	8	    880 kernel=MMA_F16;    240 kernel=VEC;
q5_1	turbo2	0	ok	0	0	24	   1256 kernel=MMA_F16;
turbo2	iq4_nl	0	NO-FA	0	0	0	   1096 kernel=NONE;
iq4_nl	turbo2	0	NO-FA	0	0	0	   1096 kernel=NONE;
turbo3	f32	0	ok	0	16	8	   1224 kernel=MMA_F16;
f32	turbo3	0	ok	0	16	8	   1224 kernel=MMA_F16;
